X,Y,source_url,what3words,upstream,name,completeness,uuid,date_modified,source,version,type,phone,physical-address,email,url,defining-hours,activities,scope-of-service,notes,nature-of-facility
44.4285336,33.3164293,http://www.openstreetmap.org/node/1241932192,swells.munched.chatted,openstreetmap¶n1241932192,Al-Sheekh Zayed Hospital,35.29%,1024cc8b27ce4bf3b8d639b9be040b59,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,,,,,
44.432297,33.3189412,http://www.openstreetmap.org/node/1233005627,blurred.then.hiding,openstreetmap¶n1233005627,Al-Wasiti Hospital for Corrective Surgery,35.29%,fa88e5be78984696bad19081fc4c3f3f,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,,,,,
43.8756245,34.2039966,http://www.openstreetmap.org/node/4683208898,pads.facing.lyrics,OpenStreetMap¶n4683208898,Al-hadi hospital,29.41%,d797849cfba143f8b3a978e2d477fb9d,2017/02/13 11:00:33+00,OpenStreetMap,2,hospital,,,,,,,,,
44.0354324,36.2116873,http://www.openstreetmap.org/node/4436938891,manuals.decisions.cleansed,OpenStreetMap¶n4436938891,American Medical Complex,41.18%,aa9afd891c1b491fb4b167e302eb1e57,2016/10/07 21:55:00+00,OpenStreetMap,2,clinic,009647507770543,"40 Meter Road, 44001",info@amc-erbil.com,,,,,,
44.5082092967906,36.6467177,http://www.openstreetmap.org/way/361707116,swooshing.nitrates.locks,openstreetmap¶w361707116,Ashti,35.29%,5c693a93d4bb4675bdb37b4d99ee65e5,2015/12/11 10:51:22.924+00,OpenStreetMap,2,hospital,,,,,,,,,
44.0781428,36.2473027,http://www.openstreetmap.org/node/4351055611,bucked.perkily.caressed,OpenStreetMap¶n4351055611,Ashty Hospital,41.18%,f48e3fe1721947e1af3195244dd5e659,2016/08/15 13:06:02+00,OpenStreetMap,2,hospital,07507463022,Shaqlawa Road,,http://www.facebook.com/shaways1435,,,,,
43.0040201,36.8492443,http://www.openstreetmap.org/node/876891225,uniforms.rolled.wings,openstreetmap¶n876891225,Azadi Hospital,35.29%,2bc546c6374e4d6ebde9c4b9d944532f,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,,,,,
42.9838204,36.6289364,http://www.openstreetmap.org/node/4149919110,fills.cosmos.glider,OpenStreetMap¶n4149919110,Babirah Hospital ,35.29%,f49b3a0755c34ac3a7f3b72a4429f44e,2016/04/26 20:46:39+00,OpenStreetMap,2,hospital,,Babirah ,,,,,,,
44.0399135,36.1877536,http://www.openstreetmap.org/node/4370234408,powers.poet.snug,OpenStreetMap¶n4370234408,"Dall company, Dall company",35.29%,272df029d67e49e785c086153aef1b79,2016/08/28 19:36:03+00,OpenStreetMap,2,hospital,,100 M Road,,,,,,,
45.6811555,35.1218924,http://www.openstreetmap.org/node/4337481798,reloads.earwigs.undrafted,OpenStreetMap¶n4337481798,"Darbandikhan Hospital, Darbandikhan Hospital",29.41%,21e7819d397d4489a23d00fac52f764b,2016/08/05 19:34:43+00,OpenStreetMap,2,hospital,,,,,,,,,
44.6952723,36.5656832,http://www.openstreetmap.org/node/4157555937,evaluate.benched.printer,OpenStreetMap¶n4157555937,Dargala Hospital,29.41%,ae04ffe1ec41477db58418e3525a1fb8,2016/04/30 14:35:40+00,OpenStreetMap,2,hospital,,,,,,,,,
44.0036411,36.192428,http://www.openstreetmap.org/node/3834577862,equivocal.denser.ferrets,OpenStreetMap¶n3834577862,Dental Collective,29.41%,7f61de427bb4451992914551a2f28eef,2015/11/13 17:12:12+00,OpenStreetMap,2,hospital,,,,,,,,,
44.3723374,33.3697086,http://www.openstreetmap.org/node/2619332724,quiet.husband.holds,openstreetmap¶n2619332724,Dijla Hospital مستشفى دجلة,35.29%,7263f9b14ec949afb79336e0dcc07803,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,,,,,
44.6329493,36.0819368,http://www.openstreetmap.org/node/4024940836,kinder.combative.unification,OpenStreetMap¶n4024940836,Dr Ali Qurbani,35.29%,8a43fbf6dfda46c8840f3f3b5d4a895b,2016/02/25 02:38:28+00,OpenStreetMap,2,hospital,,"Koysinjaq, Koya",,,,,,,
44.4304459,33.3127593,http://www.openstreetmap.org/node/2938108044,rapid.dusts.camps,openstreetmap¶n2938108044,Dr Ammar Clinic-Paradise Center,35.29%,6267fd0d59b84012a2c85ba7cd97878b,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,,,,,
42.9962425,36.8594117,http://www.openstreetmap.org/node/4245041184,forks.suitcase.photocopy,OpenStreetMap¶n4245041184,Dr. Saleem Andraws,29.41%,56769e9db246440fa2b62155fcf44ecd,2016/06/15 20:57:15+00,OpenStreetMap,2,hospital,,,,,,,,,
42.9992277,36.8596424,http://www.openstreetmap.org/node/4221359126,flags.bookshop.search,OpenStreetMap¶n4221359126,Dr. Zozan Abdulrahman Faris Clinic,35.29%,e7dea2e5fb9447818ae9decd96281fc1,2016/06/04 11:45:27+00,OpenStreetMap,2,clinic,,"Raza Road, Dohuk",,,,,,,
44.0172282,36.1982019,http://www.openstreetmap.org/node/1199433528,confined.deriving.bulb,openstreetmap¶n1199433528,Emergency,35.29%,124ace3141384223bca7bfae9c658599,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,,,,,
44.6264034678623,36.0813385,http://www.openstreetmap.org/way/399760333,crackers.evocations.strum,OpenStreetMap¶w399760333,Emergency Hospital,35.29%,8dfc45da42654b108f0b60f8c488fb0f,2016/03/05 20:29:30+00,OpenStreetMap,2,hospital,,"koya, Koya",,,,,,,
45.979257951244,35.1944687,http://www.openstreetmap.org/way/424689080,voicing.craftsmen.paddled,OpenStreetMap¶w424689080,"Emergency Hospital, Emergency Hospital",35.29%,2afc10a889d349899380a341ce353182,2016/06/15 11:14:23+00,OpenStreetMap,2,hospital,,Halabja,,,,,,,
43.9975344036223,36.2003387,http://www.openstreetmap.org/way/367981123,swan.instilled.juniors,OpenStreetMap¶w367981123,Emergency Management Centre,41.18%,b13e93c0b8fc4ab2b54c4213c5620ff3,2016/06/12 22:05:46+00,OpenStreetMap,2,hospital,0662573380,44001,,,,,,,
44.0026827,36.1877699,http://www.openstreetmap.org/node/4586990691,beards.dissolve.equipping,OpenStreetMap¶n4586990691,Emerican eye & retina centre,29.41%,0ddc359162994a519d8e99470f7c9539,2017/01/03 13:13:28+00,OpenStreetMap,2,hospital,,,,,,,,,
43.9688724,36.1606675,http://www.openstreetmap.org/node/2100576314,encourage.stiletto.slopes,openstreetmap¶n2100576314,Erbil Emergency Hospital,35.29%,49cdbf2a95c2491098eb39e7f3eb6924,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,,,,,
43.755386914499,33.35066155,http://www.openstreetmap.org/way/255879413,appraised.toasters.compound,openstreetmap¶w255879413,"Fallujah General Hospital, Fallujah General Hospital",35.29%,c255e66b9fb042fcbff3cda257a033d1,2015/12/11 10:51:22.924+00,OpenStreetMap,2,hospital,,,,,,,,,
42.7580691,36.8573909,http://www.openstreetmap.org/node/4376178493,heartache.grimacing.telephoned,OpenStreetMap¶n4376178493,Grê Gawre,29.41%,dc1e86b9628649b093b776fa09174091,2016/09/17 07:04:47+00,OpenStreetMap,2,hospital,,,,,,,,,
44.0207785,36.1994,http://www.openstreetmap.org/node/1045228779,stickler.motivates.interview,openstreetmap¶n1045228779,Hawler,35.29%,6ab3ca652160484cb9526ffe7f3ccaed,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,,,,,
44.3665601,35.4142424,http://www.openstreetmap.org/node/4394752691,dentistry.stood.boldest,OpenStreetMap¶n4394752691,Health Sub Center,29.41%,68acd51f1c9e4346a636952447921ed3,2016/09/10 13:31:41+00,OpenStreetMap,2,clinic,,,,,,,,,
44.0348550260169,36.2171963,http://www.openstreetmap.org/way/380110946,heartless.news.unions,openstreetmap¶w380110946,Helena Hospital,35.29%,881dba2523b546e8a2e6651dd7a24d6a,2015/12/11 10:51:22.924+00,OpenStreetMap,2,hospital,,,,,,,,,
44.0348218,36.2170654,http://www.openstreetmap.org/node/3834517760,crackled.tumble.heave,OpenStreetMap¶n3834517760,Helena Hospital,29.41%,ca9c0a139dda4d65abbe3dddf73cd306,2015/11/13 16:33:53+00,OpenStreetMap,2,hospital,,,,,,,,,
45.4510286,35.5416464,http://www.openstreetmap.org/node/4185145692,puncture.rave.beaker,OpenStreetMap¶n4185145692,"Hiwa Hospital, Hiwa Hospital",29.41%,4744b5a34c6b44908f4045f44447bd76,2017/01/30 13:18:27+00,OpenStreetMap,2,hospital,,,,,,,,,
44.4295576,33.3132313,http://www.openstreetmap.org/node/2938103075,losses.terminal.info,openstreetmap¶n2938103075,Ibn Al Haitham Teaching Eye Hospital,35.29%,1c216e628d78417e895693b581f96bde,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,,,,,
44.428127,33.3182942,http://www.openstreetmap.org/node/1241932190,tickets.cross.just,openstreetmap¶n1241932190,Ibn Al-Nafees Cardiology Hospital,35.29%,9bbcee23b10249f88a5159d93a0aacc5,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,,,,,
47.8350632,30.5049266,http://www.openstreetmap.org/node/4008779487,envy.deserved.else,OpenStreetMap¶n4008779487,Ibn Qaswan Maternity Hospital,29.41%,7d985e5b82ab45e3ad850b10a9fbedcb,2016/10/16 11:25:49+00,OpenStreetMap,2,hospital,,,,,,,,,
44.466820001531,33.33449405,http://www.openstreetmap.org/relation/5389036,dare.rewarded.gateway,openstreetmap¶r5389036,Ibn al-Kuff Hospital for Spinal Cord Injuries,35.29%,b9cf5ec85c814c179cf618d5edc8fa2c,2015/12/11 10:51:22.924+00,OpenStreetMap,2,hospital,,,,,,,,,
44.3602695,33.3171287,http://www.openstreetmap.org/node/1167754844,adopt.carver.hippy,openstreetmap¶n1167754844,Iraqi Red Crescent Hospital,35.29%,d1fcf260f0fb4a7fbd1fdd87963e1d6e,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,,,,,
41.8696845,36.4961298,http://www.openstreetmap.org/node/4550798495,chalks.haystacks.loincloths,OpenStreetMap¶n4550798495,"Jangoo A clinic, Jangoo A clinic",29.41%,918e11df5dd2487482b7b990a7591b2e,2016/12/12 13:12:38+00,OpenStreetMap,2,clinic,,,,,,,,,
45.3273526,34.6233469,http://www.openstreetmap.org/node/2389819224,hooting.capsized.rhythms,openstreetmap¶n2389819224,Kalar Public Hospital,35.29%,8b190423267b4dcfa2c634be03422dfe,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,,,,,
44.6481601,36.0990389,http://www.openstreetmap.org/node/4406104689,chatterbox.pronouns.availing,OpenStreetMap¶n4406104689,Khalid general hospital,29.41%,b470586095644504ba91ab53fe925e88,2016/09/17 20:09:36+00,OpenStreetMap,2,hospital,,,,,,,,,
44.0170763,36.1961977,http://www.openstreetmap.org/node/3834535503,fermented.rejoin.bristle,OpenStreetMap¶n3834535503,Khanzad teaching Center for Oral and Dental Health,29.41%,7003a344cf1b427b9040ba4457c3e9d5,2016/09/26 07:35:58+00,OpenStreetMap,2,hospital,,,,,,,,,
44.0358357,36.2097591,http://www.openstreetmap.org/node/4300886090,unearthly.slept.quaking,OpenStreetMap¶n4300886090,Master Medical Complex ,41.18%,9d2995c250044528b578f8828d657c64,2016/07/13 17:22:33+00,OpenStreetMap,2,clinic,009647716622115,"009647716622115, 40 Meter Road, 00964",dr.muzahem@gmail.com,,,,,,
47.1463705488732,31.83291095,http://www.openstreetmap.org/way/463737612,call.dollars.unafraid,OpenStreetMap¶w463737612,Maternity Hospital,29.41%,e3c22035008644c283d4f82352d0fa56,2017/01/04 20:59:47+00,OpenStreetMap,2,hospital,,,,,,,,,
44.0325472,36.2156848,http://www.openstreetmap.org/node/3834523741,then.costumed.debate,OpenStreetMap¶n3834523741,Maternity Hospital,29.41%,91da60e9ddf047ff841e2abe6c1c4a63,2015/11/13 16:38:09+00,OpenStreetMap,2,hospital,,,,,,,,,
42.0845805104308,36.7432802,http://www.openstreetmap.org/way/439902615,carmakers.undetected.strengthens,OpenStreetMap¶w439902615,Medical Center,29.41%,b2ff68364b6a497e94a5499e5fc1d2d1,2016/08/30 16:25:52+00,OpenStreetMap,2,hospital,,,,,,,,,
43.1233498740756,36.3232401,http://www.openstreetmap.org/way/315833990,areas.pesky.sharpened,openstreetmap¶w315833990,Mosul General Hospital,35.29%,ae9770089aca4a7897e46eec7a272742,2015/12/11 10:51:22.924+00,OpenStreetMap,2,hospital,,,,,,,,,
43.6495399,37.053272,http://www.openstreetmap.org/node/2375736733,quirkiness.recast.sorrows,openstreetmap¶n2375736733,NEXWEŞ XANE,35.29%,0d7ef34a6f6a4b2b9e553442a35b6047,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,,,,,
44.5319627,36.6521604,http://www.openstreetmap.org/node/4385262730,discredits.clued.guard,OpenStreetMap¶n4385262730,"Nexošxanei frîakeûtn, Emergency hospital",29.41%,083cc8d0f8f3452a945632ff0a4a4a12,2016/09/05 13:55:25+00,OpenStreetMap,2,hospital,,,,,,,,,
43.8015612,37.0261822,http://www.openstreetmap.org/node/4336090169,spouts.speakers.quilts,OpenStreetMap¶n4336090169,Nexweş Xana Şêladizê,29.41%,aeef3f2d95cb41bfb7a31002db18fa7a,2016/08/04 20:30:20+00,OpenStreetMap,2,hospital,,,,,,,,,
44.4292213,33.3170749,http://www.openstreetmap.org/node/1241932179,searches.sand.engages,openstreetmap¶n1241932179,Nuclear Medicine Hospital,35.29%,dd64d18dbcf3401296e35b0bc058af63,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,,,,,
43.9789264,36.1705575,http://www.openstreetmap.org/node/4187221193,domain.ozone.dreading,OpenStreetMap¶n4187221193,PAKY HOSPITAL,29.41%,6b4d1049123c432b9facebbdbd1bdef7,2016/05/15 13:11:45+00,OpenStreetMap,2,hospital,,,,,,,,,
44.0257079,36.1829096,http://www.openstreetmap.org/node/4328978489,silly.radio.nerd,OpenStreetMap¶n4328978489,"Par Hospital, par hospital",35.29%,a2aa6931b38942ec8661573612585f04,2016/09/25 19:26:58+00,OpenStreetMap,2,hospital,,60 Meter road,,,,,,,
45.4601791,35.5244629,http://www.openstreetmap.org/node/4152114089,front.heaven.mentioned,OpenStreetMap¶n4152114089,Peshmerga Health Foundation,29.41%,6aefe4b4278a41daa59a0ed4c7a9c5e1,2016/12/20 11:28:42+00,OpenStreetMap,2,hospital,,,,,,,,,
44.1896093,36.3914013,http://www.openstreetmap.org/node/4100641096,ironworker.attractions.celebrate,OpenStreetMap¶n4100641096,"Pirmam Hospital, Pirmam hospital",29.41%,9dee9eceab3a4633957c626f26e06073,2016/12/23 15:01:51+00,OpenStreetMap,2,clinic,,,,,,,,,
45.3394547,35.5775699,http://www.openstreetmap.org/node/837190806,presume.closes.flattens,openstreetmap¶n837190806,Rapareen Hospital,35.29%,26169bc6fcea421d869e9f490522012b,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,,,,,
44.0351352448581,36.21874785,http://www.openstreetmap.org/way/380111406,files.origins.overlaid,openstreetmap¶w380111406,Raparin Teaching Hospital For Children,35.29%,b9251c05d7b04c1d8c573b40d14672a7,2015/12/11 10:51:22.924+00,OpenStreetMap,2,hospital,,,,,,,,,
44.0355138,36.2188658,http://www.openstreetmap.org/node/3834519475,causes.roadblock.starts,OpenStreetMap¶n3834519475,"Raparin Teaching Hospital For Children, raparin",29.41%,d98e2201f9b447e5b58b3d9fd85d6b03,2017/01/27 14:25:46+00,OpenStreetMap,2,hospital,,,,,,,,,
44.0397526,36.1916917,http://www.openstreetmap.org/node/1045223122,tech.weeps.operating,openstreetmap¶n1045223122,Rizgary,35.29%,0590df1f26b84d84aecf23a91f0fb659,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,,,,,
45.4492354,35.5566569,http://www.openstreetmap.org/node/4278153002,surprised.level.stupidly,OpenStreetMap¶n4278153002,SULI Hearing Balance Center,35.29%,0577aeb6433b43d19a3e58fee0fea6ba,2016/07/02 13:19:36+00,OpenStreetMap,2,clinic,,Goran,,,,,,,
43.88002795,34.20089625,http://www.openstreetmap.org/way/353019131,lost.upstairs.canoe,openstreetmap¶w353019131,Samarra General Hospital,35.29%,15b29469568248499aabfaac198e2104,2015/12/11 10:51:22.924+00,OpenStreetMap,2,hospital,,,,,,,,,
43.9806032,36.170972,http://www.openstreetmap.org/node/4456795191,haircuts.unspoiled.premises,OpenStreetMap¶n4456795191,Sardam,29.41%,d19cead08e4549479482131186c84fc3,2016/10/20 18:11:13+00,OpenStreetMap,2,hospital,,,,,,,,,
45.009248,36.253161,http://healthsites.io,hissed.skidding.detects,web¶ec974075fa78433ba46977ac5cd894fc,Shaheed Abdulraheem General Hospital,58.82%,ec974075fa78433ba46977ac5cd894fc,2017/09/26 09:34:25.072+00,healthsites.io,2,,,"Sulaimanya , Sangasar sub-district",,,"08:00-14:00--,08:00-14:30--,08:00-14:30--,08:00-14:30--,-,-,08:00-14:30--,","Maternal and women health,","general acute care,","In-patient hospitalization,",first referral hospital
44.627455982855,36.0808858,http://www.openstreetmap.org/way/401836853,bakes.piranha.voyeurism,OpenStreetMap¶w401836853,Shaheed Dr Khalid,35.29%,d01d0e03bc514d3d80c25d7641c2390b,2016/08/23 22:30:49+00,OpenStreetMap,2,hospital,,"Doctor Khalid Road, Koya",,,,,,,
45.2446921572615,34.6621043,http://www.openstreetmap.org/way/368942954,coolant.cityscapes.gulls,openstreetmap¶w368942954,Shaheed Dr. Qassim Primary Healthcare Center,35.29%,b22ec56a97f34288b360806b3d66a71e,2015/12/11 10:51:22.924+00,OpenStreetMap,2,hospital,,,,,,,,,
45.433823,35.5742669,http://www.openstreetmap.org/node/4434230092,tastier.egging.aura,OpenStreetMap¶n4434230092,Shaheed bakhtyar health center,29.41%,31b3f4c525614bbb96532129c7f1da29,2016/10/06 12:25:17+00,OpenStreetMap,2,hospital,,,,,,,,,
45.4530168717937,35.53368735,http://www.openstreetmap.org/way/475293875,brothers.hindering.outings,OpenStreetMap¶w475293875,Shahid Aso Hospital,29.41%,b1eed948805d4b6faffc8e6adb243715,2017/02/17 14:16:06+00,OpenStreetMap,2,hospital,,,,,,,,,
44.9655531,35.9243777,http://www.openstreetmap.org/node/4303366790,groundwork.airbrushed.strolling,OpenStreetMap¶n4303366790,Shahid Gharib Haladini Hospital,29.41%,6130c81b2eec472e9a8d47d3032775b2,2016/12/20 11:23:14+00,OpenStreetMap,2,hospital,,,,,,,,,
45.4171226210578,35.55536015,http://www.openstreetmap.org/way/445287415,hill.departure.spotty,OpenStreetMap¶w445287415,Shahid Hamarash Hospital,35.29%,ba6d417c59eb45209bbe7ae242aa821f,2016/10/02 08:14:53+00,OpenStreetMap,2,hospital,,"Sulaimani, 46001",,,,,,,
45.4423202,35.5813472,http://www.openstreetmap.org/node/4328218461,owners.safely.overtones,OpenStreetMap¶n4328218461,Shar Hospital,29.41%,e69a1631ece64a3d865e4583b2c49998,2016/12/20 09:08:23+00,OpenStreetMap,2,hospital,,,,,,,,,
46.3616015,30.8311757,http://www.openstreetmap.org/node/4018871489,choosing.lift.redecorate,OpenStreetMap¶n4018871489,Tall al Lahm Emergence center,29.41%,ed57a4e656294b818c9b124ff14ffa6b,2016/02/22 07:04:10+00,OpenStreetMap,2,clinic,,,,,,,,,
44.6482457318315,36.0992377,http://www.openstreetmap.org/way/395851297,locker.cigars.dauntingly,OpenStreetMap¶w395851297,The Martyr Khalid Hospital,35.29%,463bca84b95c4e9c84f34b1ccfdba3c8,2016/08/23 21:21:40+00,OpenStreetMap,2,hospital,,"Hospital Road, koya",,,,,,,
44.3231739,33.2351689,http://www.openstreetmap.org/node/1966367994,struts.elbowed.apron,openstreetmap¶n1966367994,Un Building,35.29%,28c7e6bdd7e2457bb631516e83d048bf,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,,,,,
43.0014827,36.8538275,http://www.openstreetmap.org/node/2549370821,impressed.tram.bystander,openstreetmap¶n2549370821,Vajeen Private Hospital,35.29%,6d365ad4ac43455083885cdae8052583,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,,,,,
43.006675,36.8480129,http://www.openstreetmap.org/node/4465023094,waistcoat.gear.qualify,OpenStreetMap¶n4465023094,"WHO, DOH",29.41%,8c5cf362b9814f69ad5836fa89b80138,2016/12/21 12:26:14+00,OpenStreetMap,2,hospital,,,,,,,,,
42.998686,36.8670288,http://www.openstreetmap.org/node/4475574492,templates.possible.gurgling,OpenStreetMap¶n4475574492,"Wan Global, Wan Globalization",29.41%,d8229f484a7148c0a0ad312cf72b7bc9,2016/11/01 18:52:51+00,OpenStreetMap,2,hospital,,,,,,,,,
44.0443689708058,36.1947051,http://www.openstreetmap.org/relation/4621257,bandwagon.raven.layover,openstreetmap¶r4621257,Zheen International Hospital,35.29%,e8b1a544b40f4f969d037a6cd57fee12,2015/12/11 10:51:22.924+00,OpenStreetMap,2,hospital,,,,,,,,,
44.0443627,36.1946023,http://www.openstreetmap.org/node/3368090884,static.deprives.desktop,openstreetmap¶n3368090884,Zheen International Hospital,35.29%,e766da52c2bd4f229f2634b67ea25d2b,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,,,,,
47.7328971,30.3806372,http://www.openstreetmap.org/node/4506426089,goodnight.handle.unfounded,OpenStreetMap¶n4506426089,abo nour,29.41%,262c94a1e14a483ca31b98320be893a4,2016/11/17 13:41:32+00,OpenStreetMap,2,clinic,,,,,,,,,
41.907562,34.4883431,http://www.openstreetmap.org/node/1037841348,rower.extraction.innermost,openstreetmap¶n1037841348,alqadsya,35.29%,82325bb205ae4d3f9bab57d0080d0990,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,,,,,
41.984913,34.3718815,http://www.openstreetmap.org/node/1037964461,legions.checking.perceivers,openstreetmap¶n1037964461,anah,35.29%,acbf6601ba644a81b73f301721b1ca49,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,,,,,
44.0212875,36.246614,http://www.openstreetmap.org/node/4453499292,regularly.unopposed.soon,OpenStreetMap¶n4453499292,atconz,29.41%,c9f5835ef04447f598c3de1c156b5801,2016/12/01 15:08:58+00,OpenStreetMap,2,hospital,,,,,,,,,
44.3562015,33.2550027,http://www.openstreetmap.org/node/1037908152,multiple.store.takers,openstreetmap¶n1037908152,dental clinic dr.nadir,35.29%,bbc1fde9f4b743e392e4612106785947,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,,,,,
41.9253465,34.4852965,http://www.openstreetmap.org/node/1037840450,feudal.partaking.embarrass,openstreetmap¶n1037840450,dentist Dr.khalid,35.29%,aea0e9b8345a49d5ae4b1e680723cd83,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,,,,,
44.4231369,33.3881825,http://www.openstreetmap.org/node/4693688791,epic.asking.progress,OpenStreetMap¶n4693688791,dr raad alkinani,29.41%,14468058a4ff4e9f8aab89c503618478,2017/02/19 17:44:59+00,OpenStreetMap,2,clinic,,,,,,,,,
42.8524171,36.8579914,http://www.openstreetmap.org/node/4376529889,hygienist.impiety.tributary,OpenStreetMap¶n4376529889,duban,29.41%,eae6f603358a47f287b99cb3edcec30f,2016/08/30 22:34:15+00,OpenStreetMap,2,hospital,,,,,,,,,
42.8366176,36.8598565,http://www.openstreetmap.org/node/4376158889,stances.enriching.thought,OpenStreetMap¶n4376158889,gulan hospital,29.41%,3966eed7cc17412bb07545cce69de549,2016/08/30 21:04:15+00,OpenStreetMap,2,hospital,,,,,,,,,
44.5589689,36.6370025,http://www.openstreetmap.org/node/3351632338,testimony.join.blubbered,openstreetmap¶n3351632338,gynocology and obestetric hospital,35.29%,32298e249d614a5abef42bb72d3e0764,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,,,,,
44.5496589252028,36.65190175,http://www.openstreetmap.org/way/340428864,wills.compels.scrub,openstreetmap¶w340428864,harem HEALTH CENTER,41.18%,f02fa2f9f2df4c77ac180275de35bba0,2015/12/11 10:51:22.924+00,OpenStreetMap,2,clinic,,harem garak,,,,,,,
45.4719611,35.5579553,http://www.openstreetmap.org/node/4582250093,potions.bandage.clouding,OpenStreetMap¶n4582250093,harem hospital,29.41%,8897f8617cdb4ac4b0c70adab9c73dd7,2017/02/12 17:31:57+00,OpenStreetMap,2,hospital,,,,,,,,,
47.8320943,30.5062358,http://www.openstreetmap.org/node/4465631790,dynamic.bedrooms.tripped,OpenStreetMap¶n4465631790,medical Center,29.41%,aac1e55c1a2f4f4eb59e2a355d4ddbe4,2016/10/27 01:39:40+00,OpenStreetMap,2,clinic,,,,,,,,,
